Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"CovReport.java",,208,,,,45
File,"Coverage.java",,274,,,,61
File,"Cvs.java",,5,,,,1
File,"CvsTagDiff.java",,188,,,,36
File,"CvsTagEntry.java",,41,,,,10
File,"CvsUser.java",,29,,,,7
Public Class,"D",0,2,,1,0,0
File,"D.java",,2,,,,0
File,"DDCreator.java",,52,,,,8
File,"DDCreatorHelper.java",,63,,,,10
File,"DOMElementWriter.java",,185,,,,41
File,"DOMElementWriterTest.java",,66,,,,5
File,"DOMUtil.java",,129,,,,30
File,"DTDLocation.java",,17,,,,4
File,"DataService.java",,14,,,,0
File,"DataType.java",,72,,,,16
File,"DataType.java",,66,,,,14
File,"DataType.java",,3,,,,0
File,"DataTypeAdapterTask.java",,46,,,,11
File,"DatatypeSubTask.java",,38,,,,7
File,"DatatypeTagsHandler.java",,42,,,,6
File,"DateSelector.java",,150,,,,32
File,"DateSelectorTest.java",,182,,,,11
File,"DateUtils.java",,88,,,,11
File,"DateUtilsTest.java",,58,,,,7
File,"DefaultCompilerAdapter.java",,314,,,,56
File,"DefaultInputHandler.java",,49,,,,6
File,"DefaultJspCompilerAdapter.java",,60,,,,13
File,"DefaultLogger.java",,113,,,,30
File,"DefaultLogger.java",,128,,,,27
File,"DefaultRmicAdapter.java",,217,,,,45
File,"DeferredSetter.java",,43,,,,10
File,"DeferredTask.java",,6,,,,0
File,"Definer.java",,173,,,,38
File,"DefinitionHandler.java",,35,,,,8
File,"Delete.java",,327,,,,79
File,"DeleteTest.java",,22,,,,6
File,"Deltree.java",,54,,,,12
File,"DeltreeTest.java",,16,,,,4
File,"DemuxOutputReceiver.java",,4,,,,0
File,"DemuxOutputStream.java",,64,,,,12
File,"DemuxOutputStream.java",,79,,,,15
File,"DemuxOutputTask.java",,39,,,,7
File,"Depend.java",,505,,,,102
File,"DependScanner.java",,90,,,,21
File,"DependSelector.java",,81,,,,17
