,cbo,noc,cyclomatic,dit,lcom,rfc,wmc,designDefect
51685,0,0,0,0,0,0,0,0
33966,8,0,0,1,50,4,5,0
62462,2,0,0,2,0,1,2,0
68873,7,0,0,1,0,2,2,0
22698,0,0,2,0,0,0,6,0
58993,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,2,0
3173,0,0,0,0,0,0,7,0
59605,0,0,1,0,0,0,1,0
71814,1,0,0,1,33,6,10,0
72013,0,0,0,0,0,0,0,0
46031,0,0,0,3,0,10,0,0
9679,0,0,0,0,0,0,0,0
30310,0,0,3,0,0,0,3,0
59430,0,0,2,0,0,0,2,0
20713,0,0,1,0,0,0,1,0
65013,0,0,3,0,0,0,3,0
47792,0,0,1,0,0,0,1,0
27262,0,0,3,0,0,0,3,0
26027,0,0,1,0,0,0,1,0
2248,0,0,1,0,0,0,1,0
35827,0,0,1,0,0,0,1,0
32263,0,0,1,0,0,0,1,0
16404,0,0,11,0,0,0,11,0
2776,0,0,0,0,0,0,1,0
24846,0,0,3,0,0,0,3,0
51890,0,0,1,0,0,0,1,0
61646,0,0,2,0,0,0,2,0
51451,6,0,0,1,58,3,8,0
27095,4,19,0,0,0,1,0,0
47915,0,0,1,0,0,0,1,0
50398,0,0,6,0,0,0,6,0
67225,0,0,2,0,0,0,2,0
33402,0,0,0,0,0,0,0,0
1745,0,0,1,0,0,0,1,0
45181,0,0,2,0,0,0,2,0
76048,0,0,0,0,0,0,8,0
7904,0,0,1,0,0,0,1,0
44649,0,0,1,0,0,0,1,0
42622,0,0,0,0,0,0,0,0
68941,1,0,0,1,50,2,3,0
1448,0,0,0,0,0,0,4,0
1732,0,0,1,0,0,0,1,0
1170,0,0,5,0,0,0,5,0
8823,0,0,3,0,0,0,3,0
69029,0,0,0,1,0,0,0,0
48037,0,0,1,0,0,0,1,0
38352,0,0,5,0,0,0,5,0
73726,0,0,0,0,0,0,0,0
18620,0,0,1,0,0,0,1,0
436,0,0,0,0,0,0,11,0
9698,0,0,2,0,0,0,2,0
40809,0,0,0,0,0,0,0,0
46789,0,0,2,0,0,0,2,0
76728,0,0,2,0,0,0,2,0
14208,0,0,1,0,0,0,1,0
59850,0,0,2,0,0,0,2,0
9697,0,0,0,0,0,0,0,0
69721,0,0,1,0,0,0,1,0
2685,0,0,3,0,0,0,3,0
7919,0,0,1,0,0,0,1,0
22147,0,0,2,0,0,0,2,0
13214,0,0,1,0,0,0,1,0
71034,0,0,1,0,0,0,1,0
45299,1,0,0,1,52,7,14,0
8967,0,0,0,0,0,0,0,0
32343,0,0,1,0,0,0,1,0
878,0,0,0,0,0,0,20,0
14549,0,0,1,0,0,0,1,0
72012,0,0,1,0,0,0,1,0
3929,0,0,1,0,0,0,1,0
63526,0,0,1,0,0,0,1,0
