Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"ClickableStackTracesWhenFrameworkMisusedTest.java",,,,81,64,,,,10
File,"ClonesArguments.java",,,,28,20,,,,2
File,"CloningParameterTest.java",,,,109,73,,,,18
File,"ComparableMatchersTest.java",,,,56,37,,,,6
File,"CompareEqual.java",,,,25,15,,,,3
File,"CompareMatcherTest.java",,,,135,90,,,,13
File,"CompareTo.java",,,,40,26,,,,5
File,"CompilationWarningsTest.java",,,,112,91,,,,6
File,"ConcurrentModificationExceptionOnMultiThreadedVerificationTest.java",,,,85,55,,,,7
File,"ConcurrentTesting.java",,,,40,21,,,,4
File,"ConditionalStackTraceFilter.java",,,,26,16,,,,2
File,"ConditionalStackTraceFilterTest.java",,,,46,30,,,,2
File,"Conditions.java",,,,123,94,,,,19
File,"ConfigurationAccess.java",,,,14,7,,,,1
File,"ConfigurationMethodTest.java",,,,33,22,,,,2
File,"ConfusedSignatureTest.java",,,,49,30,,,,4
File,"ConsecutiveStubbing.java",,,,30,20,,,,4
File,"ConsoleMockitoLogger.java",,,,15,6,,,,1
File,"ConsoleSpammingMockitoJUnitRunner.java",,,,73,49,,,,7
File,"ConsoleSpammingMockitoJUnitRunnerTest.java",,,,80,52,,,,8
File,"ConstructorInjection.java",,,,86,46,,,,10
File,"ConstructorInjectionTest.java",,,,56,39,,,,5
File,"ConstructorInstantiator.java",,,,186,136,,,,33
File,"ConstructorInstantiatorTest.java",,,,83,57,,,,10
File,"ConstructorInvokingMethodShouldNotRaiseExceptionTest.java",,,,71,52,,,,9
File,"Contains.java",,,,28,15,,,,3
File,"ContainsExtraTypeInfo.java",,,,26,5,,,,0
File,"CovariantOverrideTest.java",,,,56,38,,,,4
File,"CreatingMocksWithConstructorTest.java",,,,347,281,,,,52
File,"CreationSettings.java",,,,156,126,,,,22
File,"CustomMatcherDoesYieldCCETest.java",,,,45,31,,,,4
File,"CustomMatchersTest.java",,,,160,125,,,,19
File,"CustomVerificationTest.java",,,,65,43,,,,8
File,"CustomizedAnnotationForSmartMockTest.java",,,,57,42,,,,6
File,"DeepStubFailingWhenGenericNestedAsRawTypeTest.java",,,,30,19,,,,1
File,"DeepStubbingTest.java",,,,329,221,,,,26
File,"DeepStubbingWithJUnitRunnerTest.java",,,,45,28,,,,2
File,"DeepStubsSerializableTest.java",,,,89,56,,,,13
File,"DeepStubsWronglyReportsSerializationProblemsTest.java",,,,36,21,,,,4
File,"DefaultAnswerValidator.java",,,,23,15,,,,2
File,"DefaultAnswerValidatorTest.java",,,,40,28,,,,3
File,"DefaultInjectionEngine.java",,,,28,14,,,,1
File,"DefaultInstantiatorProvider.java",,,,22,14,,,,2
File,"DefaultInternalRunner.java",,,,95,72,,,,12
File,"DefaultInternalRunnerTest.java",,,,85,64,,,,6
File,"DefaultInvocationFactory.java",,,,58,45,,,,7
File,"DefaultMockingDetails.java",,,,95,70,,,,14
File,"DefaultMockingDetailsTest.java",,,,210,151,,,,22
File,"DefaultMockitoConfiguration.java",,,,46,18,,,,4
File,"DefaultMockitoFramework.java",,,,40,29,,,,4
File,"DefaultMockitoFrameworkTest.java",,,,116,79,,,,9
File,"DefaultMockitoPlugins.java",,,,78,56,,,,7
File,"DefaultMockitoPluginsTest.java",,,,31,22,,,,1
File,"DefaultMockitoSession.java",,,,75,54,,,,9
File,"DefaultMockitoSessionBuilder.java",,,,80,64,,,,14
File,"DefaultMockitoSessionBuilderTest.java",,,,108,77,,,,8
File,"DefaultPluginSwitch.java",,,,13,7,,,,1
File,"DefaultRegisteredInvocations.java",,,,66,46,,,,7
