Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,CountLineCode
Function,"(unnamed_function_1).cl",,,,1,2,,,2,1
Function,"(unnamed_function_1).cu",,,,1,1,,,1,1
Function,"(unnamed_function_1).cv",,,,1,1,,,1,1
Function,"(unnamed_function_1).cw",,,,1,1,,,2,1
Unnamed Function,"(unnamed_function_1).cw.(unnamed_function_2)",,,,1,1,,,1,1
Function,"(unnamed_function_1).cx",,,,1,5,,,5,1
Function,"(unnamed_function_1).f",,,,1,3,,,148,1
Unnamed Function,"(unnamed_function_1).f.(unnamed_function_17)",,,,1,1,,,1,1
Unnamed Function,"(unnamed_function_1).f.(unnamed_function_18)",,,,1,1,,,1,1
Function,"(unnamed_function_1).f.C",,,,1,1,,,1,1
Function,"(unnamed_function_1).f.C",,,,1,1,,,1,1
Function,"(unnamed_function_1).f.K",,,,1,3,,,3,1
Class Function,"(unnamed_function_1).f.e",,,,1,1,1,,1,1
Function,"(unnamed_function_1).f.y",,,,1,1,,,1,1
Function,"(unnamed_function_1).h",,,,1,2,,,2,1
Function,"(unnamed_function_1).l",,,,1,9,,,9,1
Function,"(unnamed_function_1).m",,,,1,4,,,4,1
Function,"(unnamed_function_1).n",,,,1,1,,,2,1
Unnamed Function,"(unnamed_function_1).n.(unnamed_function_11)",,,,1,1,,,1,1
Unnamed Function,"(unnamed_function_13)",,,,1,1,,,1,1
Unnamed Function,"(unnamed_function_3)",,,,1,1,,,121,1
Function,"(unnamed_function_3).E",,,,1,1,,,1,1
Function,"(unnamed_function_3).N",,,,1,1,,,1,1
Function,"(unnamed_function_3).a",,,,1,1,,,1,1
Function,"(unnamed_function_3).b",,,,1,2,,,2,1
Function,"(unnamed_function_3).c",,,,1,5,,,16,1
Function,"(unnamed_function_3).c.c",,,,1,2,,,2,1
Function,"(unnamed_function_3).c.i",,,,1,6,,,6,1
Function,"(unnamed_function_3).c.o",,,,1,1,,,2,1
Function,"(unnamed_function_3).c.o.r",,,,1,1,,,1,1
Function,"(unnamed_function_3).c.u",,,,1,1,,,1,1
Function,"(unnamed_function_3).d",,,,1,1,,,1,1
Function,"(unnamed_function_3).f",,,,1,8,,,42,1
Function,"(unnamed_function_3).f.b",,,,1,2,,,2,1
Function,"(unnamed_function_3).f.c",,,,1,1,,,1,1
Function,"(unnamed_function_3).f.d",,,,1,3,,,3,1
Function,"(unnamed_function_3).f.g",,,,1,2,,,2,1
Function,"(unnamed_function_3).f.h",,,,1,3,,,3,1
Function,"(unnamed_function_3).f.m",,,,1,8,,,8,1
Function,"(unnamed_function_3).f.o",,,,1,3,,,3,1
Function,"(unnamed_function_3).f.p",,,,1,4,,,4,1
Function,"(unnamed_function_3).f.u",,,,1,4,,,4,1
Function,"(unnamed_function_3).f.v",,,,1,4,,,4,1
Function,"(unnamed_function_3).g",,,,1,1,,,2,1
Unnamed Function,"(unnamed_function_3).g.(unnamed_function_11)",,,,1,1,,,1,1
Function,"(unnamed_function_3).h",,,,1,2,,,2,1
Function,"(unnamed_function_3).i",,,,1,6,,,6,1
Function,"(unnamed_function_3).l",,,,1,1,,,3,1
Unnamed Function,"(unnamed_function_3).l.(unnamed_function_10)",,,,1,2,,,2,1
Function,"(unnamed_function_3).m",,,,1,1,,,2,1
Unnamed Function,"(unnamed_function_3).m.(unnamed_function_12)",,,,1,1,,,1,1
Function,"(unnamed_function_3).n",,,,1,1,,,1,1
Function,"(unnamed_function_3).o",,,,1,4,,,4,1
Function,"(unnamed_function_3).p",,,,1,5,,,5,1
Function,"(unnamed_function_3).r",,,,1,1,,,1,1
Function,"(unnamed_function_3).s",,,,1,1,,,23,1
Function,"(unnamed_function_3).s.n",,,,1,1,,,1,1
Function,"(unnamed_function_3).s.r",,,,1,6,,,18,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_5)",,,,1,1,,,1,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_6)",,,,1,3,,,4,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_6).(unnamed_function_7)",,,,1,1,,,1,1
Unnamed Function,"(unnamed_function_3).s.r.(unnamed_function_8)",,,,1,1,,,1,1
Function,"(unnamed_function_3).s.r.c",,,,1,1,,,3,1
Unnamed Function,"(unnamed_function_3).s.r.c.(unnamed_function_4)",,,,1,2,,,2,1
Unnamed Function,"(unnamed_function_3).s.r.f.(unnamed_function_9)",,,,1,2,,,2,1
Function,"(unnamed_function_3).s.t",,,,1,3,,,3,1
Function,"(unnamed_function_3).t",,,,1,1,,,1,1
Function,"(unnamed_function_3).u",,,,1,1,,,4,1
Function,"(unnamed_function_3).u.r",,,,1,3,,,3,1
Function,"(unnamed_function_3).v",,,,1,1,,,1,1
File,"AIOOBExceptionWithAtLeastTest.java",,,,33,,,,1,20
File,"AbstractAwareMethod.java",,,,10,,,,0,4
File,"AbstractByteBuddyMockMakerTest.java",,,,207,,,,25,157
File,"AccessibilityChanger.java",,,,32,,,,3,16
File,"AccessibilityChangerTest.java",,,,38,,,,3,23
File,"AcrossClassLoaderSerializationTest.java",,,,99,,,,10,71
File,"ActualInvocationHasNullArgumentNPEBugTest.java",,,,38,,,,2,22
File,"AdditionalAnswers.java",,,,491,,,,17,83
File,"AdditionalMatchers.java",,,,1058,,,,69,288
File,"After.java",,,,46,,,,5,23
File,"AllInvocationsFinder.java",,,,51,,,,5,26
File,"AllInvocationsFinderTest.java",,,,94,,,,6,62
File,"And.java",,,,29,,,,3,18
File,"AndroidByteBuddyMockMaker.java",,,,56,,,,6,43
File,"AndroidLoadingStrategy.java",,,,36,,,,2,27
File,"AndroidTempFileLocator.java",,,,97,,,,13,83
File,"AnnotationEngine.java",,,,29,,,,0,4
File,"AnnotationEngine.java",,,,28,,,,0,5
File,"AnnotationsAreCopiedFromMockedTypeTest.java",,,,129,,,,17,102
File,"AnnotationsTest.java",,,,120,,,,9,90
File,"Answer.java",,,,40,,,,0,5
File,"Answer1.java",,,,44,,,,0,6
File,"Answer2.java",,,,46,,,,0,6
File,"Answer3.java",,,,48,,,,0,6
File,"Answer4.java",,,,50,,,,0,6
File,"Answer5.java",,,,51,,,,0,6
File,"AnswerFunctionalInterfaces.java",,,,239,,,,21,130
File,"Answers.java",,,,102,,,,5,29
File,"AnswersWithDelay.java",,,,47,,,,4,26
File,"AnswersWithDelayTest.java",,,,46,,,,4,31
File,"Any.java",,,,23,,,,2,12
File,"AnyXMatchersAcceptNullsTest.java",,,,77,,,,5,60
File,"ArgMismatchFinder.java",,,,32,,,,5,21
File,"ArgMismatchFinderTest.java",,,,129,,,,8,75
File,"ArgumentCaptor.java",,,,151,,,,5,24
File,"ArgumentCaptorDontCapturePreviouslyVerifiedTest.java",,,,32,,,,1,22
File,"ArgumentCaptorTest.java",,,,36,,,,3,20
File,"ArgumentMatcher.java",,,,128,,,,0,4
File,"ArgumentMatcherAction.java",,,,32,,,,0,5
File,"ArgumentMatcherStorage.java",,,,29,,,,0,14
File,"ArgumentMatcherStorageImpl.java",,,,97,,,,14,69
File,"ArgumentMatchers.java",,,,1323,,,,59,249
File,"ArgumentMatchingTool.java",,,,50,,,,9,36
File,"ArgumentMatchingToolTest.java",,,,120,,,,10,71
File,"ArgumentsAreDifferent.java",,,,24,,,,2,13
File,"ArgumentsAreDifferent.java",,,,42,,,,4,27
File,"ArgumentsProcessor.java",,,,67,,,,10,46
File,"ArrayEquals.java",,,,74,,,,20,61
File,"Article.java",,,,19,,,,2,10
File,"ArticleCalculator.java",,,,13,,,,0,7
File,"ArticleDatabase.java",,,,27,,,,5,15
File,"ArticleManager.java",,,,37,,,,4,25
File,"Assertor.java",,,,10,,,,0,4
File,"AsyncTesting.java",,,,75,,,,9,45
File,"AsyncTestingTest.java",,,,52,,,,3,30
File,"AtLeast.java",,,,53,,,,8,39
File,"AtLeastDiscrepancy.java",,,,19,,,,2,11
File,"AtLeastMarksAllInvocationsVerified.java",,,,32,,,,3,20
File,"AtLeastTest.java",,,,31,,,,3,22
File,"AtLeastXNumberOfInvocationsChecker.java",,,,48,,,,4,33
File,"AtLeastXNumberOfInvocationsCheckerTest.java",,,,86,,,,4,54
File,"AtLeastXVerificationTest.java",,,,56,,,,4,35
File,"AtMost.java",,,,58,,,,8,43
File,"AtMostXVerificationTest.java",,,,119,,,,14,94
File,"BDDMockito.java",,,,529,,,,40,176
File,"BDDMockitoTest.java",,,,405,,,,51,311
File,"BaseStubber.java",,,,125,,,,0,16
File,"BaseStubbing.java",,,,84,,,,15,66
File,"BasicStubbingTest.java",,,,129,,,,15,97
File,"BasicVerificationInOrderTest.java",,,,272,,,,38,232
File,"BasicVerificationTest.java",,,,124,,,,13,92
File,"BeanPropertySetter.java",,,,98,,,,10,52
File,"BeanPropertySetterTest.java",,,,162,,,,13,107
File,"BridgeMethodPuzzleTest.java",,,,71,,,,5,43
File,"BridgeMethodsHitAgainTest.java",,,,67,,,,3,48
File,"ByteBuddyCrossClassLoaderSerializationSupport.java",,,,388,,,,21,161
File,"ByteBuddyMockMaker.java",,,,48,,,,5,28
File,"ByteBuddyMockMakerTest.java",,,,41,,,,1,29
File,"BytecodeGenerator.java",,,,10,,,,0,4
File,"CallingRealMethodTest.java",,,,76,,,,8,51
File,"Calls.java",,,,54,,,,6,39
File,"CallsRealMethods.java",,,,52,,,,4,23
File,"CallsRealMethodsTest.java",,,,55,,,,4,33
File,"CannotStubVoidMethodWithReturnValue.java",,,,13,,,,1,7
File,"CannotVerifyStubOnlyMock.java",,,,15,,,,1,7
File,"Captor.java",,,,40,,,,0,6
File,"CaptorAnnotationAutoboxingTest.java",,,,45,,,,2,28
File,"CaptorAnnotationBasicTest.java",,,,107,,,,8,70
File,"CaptorAnnotationProcessor.java",,,,28,,,,2,18
