Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminRootResource,ConfigAdminRootResource,3,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationAdd,ConfigurationAdd,2,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationAdd,ConfigurationAdd,3,1,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,ConfigurationResource,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,ConfigurationResource,4,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,ConfigurationResource,9,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigurationResource,ConfigurationResource,3,1,2
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,3,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,4,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,3,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,Namespace10,Namespace10,4,1,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,6,2,1
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,7,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,11,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.configadmin.parser,ConfigAdminSubsystemTestCase,ConfigAdminSubsystemTestCase,3,1,0
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,IORASContextDefinition,3,1,0
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,IORASContextDefinition,3,1,0
wildfly-16.0.0.Final,org.jboss.as.jacorb,IORASContextDefinition,IORASContextDefinition,3,1,0
