Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"BriefJUnitResultFormatter.java",,,,300,154,,,,30
File,"BuildEvent.java",,,,203,54,,,,11
File,"BuildException.java",,,,167,45,,,,12
File,"BuildFileRule.java",,,,315,126,,,,27
File,"BuildFileTest.java",,,,620,262,,,,57
File,"BuildListener.java",,,,110,11,,,,0
File,"BuildLogger.java",,,,72,8,,,,0
File,"BuildNumber.java",,,,165,79,,,,13
File,"BuildTimeoutException.java",,,,114,26,,,,7
File,"BuiltinNative2Ascii.java",,,,90,59,,,,11
Public Class,"C",0,1,0,2,2,,1,0,0
File,"C.java",,,,19,2,,,,0
File,"CBZip2InputStream.java",,,,1059,741,,,,143
File,"CBZip2OutputStream.java",,,,1575,953,,,,176
File,"CBZip2StreamTest.java",,,,40,17,,,,2
File,"CCCheckin.java",,,,346,111,,,,27
File,"CCCheckout.java",,,,511,168,,,,41
File,"CCLock.java",,,,375,121,,,,29
File,"CCMCheck.java",,,,196,88,,,,20
File,"CCMCheckin.java",,,,38,9,,,,1
File,"CCMCheckinDefault.java",,,,37,9,,,,1
File,"CCMCheckout.java",,,,34,7,,,,1
File,"CCMCreateTask.java",,,,327,147,,,,31
File,"CCMReconfigure.java",,,,152,58,,,,13
File,"CCMkattr.java",,,,422,149,,,,39
File,"CCMkbl.java",,,,356,116,,,,28
File,"CCMkdir.java",,,,235,77,,,,18
File,"CCMkelem.java",,,,421,141,,,,36
File,"CCMklabel.java",,,,396,134,,,,35
File,"CCMklbtype.java",,,,429,140,,,,36
File,"CCRmtype.java",,,,368,122,,,,30
File,"CCUnCheckout.java",,,,139,44,,,,8
File,"CCUnlock.java",,,,256,81,,,,19
File,"CCUpdate.java",,,,325,104,,,,24
File,"CRC.java",,,,141,102,,,,10
File,"CVSEntry.java",,,,113,40,,,,9
File,"CVSPass.java",,,,166,93,,,,13
File,"CVSPassTest.java",,,,109,68,,,,7
File,"Cab.java",,,,339,186,,,,34
File,"Cache.java",,,,72,11,,,,0
File,"CallTarget.java",,,,255,102,,,,26
File,"CallTargetTest.java",,,,90,50,,,,7
File,"CaseTest.java",,,,61,25,,,,3
File,"CentralDirectoryParsingZipExtraField.java",,,,40,6,,,,0
File,"ChainReaderHelper.java",,,,355,197,,,,37
File,"ChainableReader.java",,,,37,5,,,,0
File,"ChainedMapper.java",,,,46,14,,,,4
File,"ChangeLogParser.java",,,,296,172,,,,34
File,"ChangeLogParserTest.java",,,,67,40,,,,2
File,"ChangeLogTask.java",,,,437,210,,,,44
File,"ChangeLogWriter.java",,,,108,61,,,,7
File,"ChangeLogWriterTest.java",,,,97,58,,,,12
File,"Checksum.java",,,,691,411,,,,80
File,"ChecksumAlgorithm.java",,,,146,54,,,,12
File,"ChecksumTest.java",,,,107,70,,,,15
File,"Chgrp.java",,,,86,26,,,,5
File,"Chmod.java",,,,270,122,,,,25
File,"Chown.java",,,,86,26,,,,5
File,"ClassCPInfo.java",,,,95,27,,,,5
File,"ClassConstants.java",,,,153,70,,,,15
File,"ClassFile.java",,,,119,50,,,,7
File,"ClassFileIterator.java",,,,64,30,,,,4
File,"ClassFileSetTest.java",,,,148,93,,,,12
File,"ClassFileUtils.java",,,,51,9,,,,2
File,"ClassNameReader.java",,,,137,72,,,,16
File,"ClassToJavadoc.java",,,,39,6,,,,3
File,"ClassfileSet.java",,,,185,83,,,,18
File,"Classloader.java",,,,240,109,,,,25
File,"ClasspathUtils.java",,,,467,158,,,,38
File,"ClasspathUtilsTest.java",,,,67,36,,,,4
File,"ClearCase.java",,,,242,88,,,,13
File,"CloseResources.java",,,,59,27,,,,5
File,"CollectionUtils.java",,,,262,120,,,,27
File,"CollectionUtilsTest.java",,,,103,74,,,,2
File,"ColorMapper.java",,,,108,57,,,,18
File,"CommandLauncher.java",,,,213,106,,,,18
File,"CommandLauncherProxy.java",,,,54,14,,,,2
File,"CommandLauncherTask.java",,,,56,27,,,,6
File,"Commandline.java",,,,690,312,,,,86
File,"CommandlineJava.java",,,,921,439,,,,122
File,"CommandlineJavaTest.java",,,,194,139,,,,12
File,"CommandlineTest.java",,,,185,130,,,,9
File,"CommonsLoggingListener.java",,,,340,213,,,,44
File,"Compare.java",,,,147,85,,,,19
File,"Comparison.java",,,,95,33,,,,7
File,"Compatability.java",,,,58,11,,,,2
File,"Compatibility.java",,,,58,11,,,,2
File,"CompilerAdapter.java",,,,52,7,,,,0
File,"CompilerAdapterExtension.java",,,,40,4,,,,0
File,"CompilerAdapterFactory.java",,,,194,90,,,,18
File,"ComponentHelper.java",,,,1080,604,,,,118
File,"Componentdef.java",,,,40,6,,,,1
File,"CompositeMapper.java",,,,36,11,,,,3
File,"CompressedResource.java",,,,61,14,,,,3
File,"Concat.java",,,,951,559,,,,125
File,"ConcatFileInputStream.java",,,,138,73,,,,15
File,"ConcatFilter.java",,,,216,91,,,,24
File,"ConcatFilterTest.java",,,,134,84,,,,10
File,"ConcatResourceInputStream.java",,,,149,80,,,,19
File,"ConcatTest.java",,,,278,164,,,,24
File,"Condition.java",,,,34,5,,,,0
File,"ConditionBase.java",,,,283,85,,,,24
File,"ConditionTask.java",,,,132,53,,,,12
File,"ConditionTest.java",,,,353,270,,,,52
File,"ConstantCPInfo.java",,,,62,13,,,,3
File,"ConstantPool.java",,,,355,165,,,,39
File,"ConstantPoolEntry.java",,,,239,102,,,,22
File,"Constants.java",,,,46,21,,,,1
File,"ContainerMapper.java",,,,121,44,,,,11
File,"Contains.java",,,,77,25,,,,6
File,"ContainsOnlyInner.java",,,,23,6,,,,1
File,"ContainsRegexpSelector.java",,,,194,100,,,,22
File,"ContainsRegexpTest.java",,,,50,22,,,,2
File,"ContainsSelector.java",,,,199,103,,,,25
File,"ContainsSelectorTest.java",,,,116,72,,,,9
File,"ContainsTest.java",,,,43,15,,,,1
File,"Content.java",,,,70,21,,,,4
File,"ContentTransformingResource.java",,,,165,72,,,,18
File,"Continuus.java",,,,142,51,,,,8
File,"Copy.java",,,,1092,661,,,,156
File,"CopyPath.java",,,,216,103,,,,22
File,"CopyTest.java",,,,317,239,,,,28
File,"Copydir.java",,,,163,90,,,,18
File,"CopydirTest.java",,,,94,44,,,,7
File,"Copyfile.java",,,,118,54,,,,11
