Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,MaxInheritanceTree,PercentLackOfCohesion
File,"ExecuteWatchdogTest.java",,101,,14,,
File,"Executor.java",,6,,0,,
File,"ExecutorTest.java",,131,,21,,
File,"Exists.java",,8,,1,,
File,"Exists.java",,7,,1,,
File,"Exit.java",,108,,28,,
File,"ExitException.java",,16,,3,,
File,"ExitStatusException.java",,20,,4,,
File,"Expand.java",,315,,65,,
File,"ExpandProperties.java",,61,,11,,
File,"ExtendFileSelector.java",,4,,0,,
File,"ExtendSelector.java",,105,,25,,
File,"ExtendedTaskdefTest.java",,32,,4,,
File,"Extension.java",,292,,56,,
File,"ExtensionAdapter.java",,91,,17,,
File,"ExtensionPoint.java",,18,,4,,
File,"ExtensionResolver.java",,8,,0,,
File,"ExtensionSet.java",,76,,16,,
File,"ExtensionUtil.java",,110,,17,,
File,"ExtraAttribute.java",,27,,7,,
File,"ExtraFieldUtils.java",,160,,29,,
File,"ExtraFieldUtilsTest.java",,152,,11,,
File,"FTP.java",,1602,,355,,
File,"FTPConfigurator.java",,59,,8,,
File,"FTPTask.java",,523,,122,,
File,"FTPTaskConfig.java",,10,,0,,
File,"FTPTaskMirror.java",,5,,0,,
File,"FTPTaskMirrorImpl.java",,1236,,270,,
File,"FTPTest.java",,631,,80,,
File,"FacadeTaskHelper.java",,53,,14,,
File,"FacadeTaskHelperTest.java",,35,,2,,
File,"FailFast.java",,74,,18,,
File,"FailTest.java",,117,,17,,
File,"FailureRecorder.java",,216,,40,,
File,"FallbackZipEncoding.java",,29,,7,,
File,"FieldRefCPInfo.java",,49,,8,,
File,"FileList.java",,98,,24,,
File,"FileListTest.java",,121,,13,,
File,"FileNameMapper.java",,6,,0,,
File,"FileProvider.java",,5,,0,,
File,"FileResource.java",,237,,65,,
File,"FileResourceIterator.java",,63,,14,,
File,"FileResourceTest.java",,101,,13,,
File,"FileScanner.java",,18,,0,,
File,"FileSelector.java",,14,,2,,
File,"FileSet.java",,37,,9,,
File,"FileSetTest.java",,27,,4,,
File,"FileSystem.java",,35,,7,,
File,"FileTokenizer.java",,14,,2,,
File,"FileUtilities.java",,30,,7,,
File,"FileUtils.java",,686,,159,,
File,"FileUtilsTest.java",,505,,49,,
File,"FilenameSelector.java",,91,,21,,
File,"FilenameSelectorTest.java",,72,,8,,
File,"Files.java",,263,,63,,
File,"FilesMatch.java",,35,,6,,
File,"Filter.java",,41,,8,,
File,"FilterChain.java",,222,,55,,
File,"FilterMapper.java",,48,,7,,
File,"FilterSet.java",,335,,79,,
File,"FilterSetCollection.java",,24,,6,,
File,"FilterSetTest.java",,155,,20,,
File,"FilterTest.java",,85,,13,,
Public Class,"Find",2,24,,7,3,50
Public Class,"Find",3,34,,12,3,40
Public Class,"Find",3,53,,17,3,60
Public Class,"Find",3,53,,17,3,60
Public Class,"Find",5,37,,12,3,40
Public Method,"Find.addFileset",,3,1,1,,
Public Method,"Find.addPath",,3,1,1,,
Public Method,"Find.addPath",,3,1,1,,
Public Method,"Find.addPath",,3,1,1,,
Public Method,"Find.execute",,10,4,4,,
Public Method,"Find.execute",,15,5,5,,
Public Method,"Find.execute",,29,9,9,,
Public Method,"Find.execute",,29,9,9,,
Public Method,"Find.execute2",,18,5,5,,
File,"Find.java",,39,,12,,
File,"Find.java",,58,,17,,
File,"Find.java",,58,,17,,
File,"Find.java",,26,,7,,
File,"Find.java",,44,,12,,
Public Method,"Find.setDelimiter",,3,1,1,,
Public Method,"Find.setDelimiter",,3,1,1,,
Public Method,"Find.setFile",,3,1,1,,
Public Method,"Find.setFile",,3,1,1,,
Public Method,"Find.setFile",,3,1,1,,
Public Method,"Find.setFile",,3,1,1,,
Public Method,"Find.setLocation",,3,1,1,,
Public Method,"Find.setLocation",,3,1,1,,
Public Method,"Find.setLocation",,3,1,1,,
Public Method,"Find.setLocation",,3,1,1,,
Public Method,"Find.setPrint",,3,1,1,,
Public Method,"Find.setProperty",,3,1,1,,
Public Method,"Find.setValue",,3,1,1,,
Protected Method,"Find.validate",,5,4,4,,
Protected Method,"Find.validate",,5,4,4,,
Protected Method,"Find.validate",,5,4,4,,
Protected Method,"Find.validate",,5,4,4,,
Public Class,"FindTest",5,52,,7,1,50
Public Class,"FindTest",5,47,,6,1,50
Public Class,"FindTest",5,47,,6,1,50
Public Class,"FindTest",5,54,,7,1,50
Public Class,"FindTest",1,13,,2,1,0
File,"FindTest.java",,61,,7,,
File,"FindTest.java",,56,,6,,
File,"FindTest.java",,56,,6,,
File,"FindTest.java",,63,,7,,
File,"FindTest.java",,18,,2,,
Public Method,"FindTest.setUp",,3,1,1,,
Public Method,"FindTest.setUp",,3,1,1,,
Public Method,"FindTest.setUp",,3,1,1,,
Public Method,"FindTest.setUp",,3,1,1,,
Public Method,"FindTest.setUp",,3,1,1,,
Public Method,"FindTest.testFileNotPresent",,5,1,1,,
Public Method,"FindTest.testFileNotPresent",,5,1,1,,
Public Method,"FindTest.testFileNotPresent",,5,1,1,,
Public Method,"FindTest.testFileNotPresent",,5,1,1,,
Public Method,"FindTest.testFilePresent",,6,1,1,,
Public Method,"FindTest.testFilePresent",,6,1,1,,
Public Method,"FindTest.testFilePresent",,6,1,1,,
Public Method,"FindTest.testFilePresent",,6,1,1,,
Public Method,"FindTest.testMissingFile",,6,1,1,,
Public Method,"FindTest.testMissingFile",,6,1,1,,
Public Method,"FindTest.testMissingFile",,6,1,1,,
Public Method,"FindTest.testMissingFile",,6,1,1,,
Public Method,"FindTest.testMissingFileset",,8,1,1,,
Public Method,"FindTest.testMissingLocation",,7,1,1,,
Public Method,"FindTest.testMissingLocation",,7,1,1,,
Public Method,"FindTest.testMissingLocation",,7,1,1,,
Public Method,"FindTest.testMissingLocation",,7,1,1,,
Public Method,"FindTest.testMissingPath",,8,1,1,,
Public Method,"FindTest.testMissingPath",,8,1,1,,
Public Method,"FindTest.testMissingPath",,8,1,1,,
Public Method,"FindTest.testMultipleFiles",,6,1,1,,
Public Method,"FindTest.testMultipleFiles",,6,1,1,,
Public Method,"FindTest.testSimple",,4,1,1,,
File,"First.java",,11,,1,,
File,"FirstMatchMapper.java",,10,,2,,
File,"FixCRLF.java",,391,,86,,
File,"FixCrLfFilter.java",,574,,137,,
File,"FixCrLfTest.java",,176,,37,,
File,"FlatFileNameMapper.java",,14,,4,,
File,"FlexInteger.java",,14,,3,,
File,"FlexIntegerTest.java",,40,,7,,
File,"FloatCPInfo.java",,16,,3,,
File,"Foo.java",,5,,1,,
File,"Foo.java",,6,,1,,
File,"ForkingJavah.java",,34,,2,,
File,"ForkingSunRmic.java",,51,,6,,
File,"FormatterElement.java",,200,,45,,
File,"FullAnalyzer.java",,69,,12,,
File,"Funtest.java",,239,,48,,
File,"GUnzip.java",,38,,6,,
File,"GUnzipTest.java",,51,,9,,
File,"GZip.java",,21,,3,,
File,"GZipResource.java",,26,,5,,
File,"Gcj.java",,84,,17,,
File,"Gcjh.java",,52,,10,,
File,"GeneralPurposeBit.java",,88,,26,,
File,"GenerateKey.java",,200,,42,,
File,"GenericDeploymentTool.java",,468,,90,,
File,"GenericHotDeploymentTool.java",,48,,10,,
File,"Get.java",,532,,107,,
File,"GetProperty.java",,4,,0,,
File,"GetTest.java",,92,,15,,
File,"GlobMapperTest.java",,21,,3,,
File,"GlobPatternMapper.java",,94,,18,,
File,"GlobPatternMapperTest.java",,67,,5,,
File,"GreedyInputHandler.java",,42,,6,,
File,"GzipTest.java",,61,,9,,
File,"HasFreeSpace.java",,46,,10,,
File,"HasMethod.java",,110,,26,,
File,"HashvalueAlgorithm.java",,28,,5,,
File,"HeadFilter.java",,96,,23,,
File,"HeadTailTest.java",,52,,3,,
File,"Header.java",,17,,4,,
Public Class,"HelloWorld",2,32,,8,3,53
Public Class,"HelloWorld.Message",0,6,,3,1,33
Public Constructor,"HelloWorld.Message.Message",,1,1,1,,
Public Method,"HelloWorld.Message.getMsg",,1,1,1,,
Public Method,"HelloWorld.Message.setMsg",,1,1,1,,
Public Method,"HelloWorld.addText",,3,1,1,,
Public Method,"HelloWorld.createMessage",,5,1,1,,
Public Method,"HelloWorld.execute",,7,4,4,,
File,"HelloWorld.java",,36,,11,,
File,"HelloWorld.java",,6,,1,,
File,"HelloWorld.java",,8,,1,,
File,"HelloWorld.java",,8,,1,,
File,"HelloWorld.java",,10,,1,,
Public Method,"HelloWorld.setFail",,3,1,1,,
Public Method,"HelloWorld.setMessage",,3,1,1,,
Public Class,"HelloWorldTest",2,37,,6,1,41
File,"HelloWorldTest.java",,45,,6,,
File,"HelloWorldTest.java",,12,,2,,
File,"HelloWorldTest.java",,12,,2,,
Public Method,"HelloWorldTest.setUp",,3,1,1,,
Public Method,"HelloWorldTest.testFail",,5,1,1,,
Public Method,"HelloWorldTest.testMessage",,4,1,1,,
Public Method,"HelloWorldTest.testNestedElement",,5,1,1,,
Public Method,"HelloWorldTest.testNestedText",,4,1,1,,
Public Method,"HelloWorldTest.testWithout",,4,1,1,,
File,"HostInfo.java",,158,,33,,
File,"HotDeploymentTool.java",,12,,0,,
File,"Http.java",,62,,11,,
File,"HttpTest.java",,38,,5,,
File,"INCOMPLETE-sampleproject.incomplete.xml",,0,0,0,,
File,"IPlanetDeploymentTool.java",,168,,27,,
File,"IPlanetEjbc.java",,759,,154,,
File,"IPlanetEjbcTask.java",,138,,28,,
File,"IdentityMapper.java",,16,,4,,
File,"IdentityStack.java",,70,,18,,
File,"IfBlankAttribute.java",,10,,1,,
File,"IfSetAttribute.java",,10,,1,,
