Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree
Public Method,"org.apache.tools.ant.DirectoryScanner.getExcludedDirectories",,8,2,2,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getExcludedFiles",,8,2,2,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getIncludedDirectories",,8,2,2,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getIncludedFiles",,8,2,2,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getNotIncludedDirectories",,8,2,2,,
Public Method,"org.apache.tools.ant.DirectoryScanner.getNotIncludedFiles",,8,2,2,,
Private Method,"org.apache.tools.ant.DirectoryScanner.isExcluded",,8,3,3,,
Private Method,"org.apache.tools.ant.DirectoryScanner.isIncluded",,8,3,3,,
Private Static Method,"org.apache.tools.ant.DirectoryScanner.match",,99,28,28,,
Private Static Method,"org.apache.tools.ant.DirectoryScanner.matchPath",,101,27,27,,
Public Method,"org.apache.tools.ant.DirectoryScanner.scan",,25,6,6,,
Private Method,"org.apache.tools.ant.DirectoryScanner.scandir",,29,8,8,,
Public Method,"org.apache.tools.ant.DirectoryScanner.setBasedir",,3,1,1,,
Public Method,"org.apache.tools.ant.DirectoryScanner.setBasedir",,3,1,1,,
Public Method,"org.apache.tools.ant.DirectoryScanner.setExcludes",,15,4,4,,
Public Method,"org.apache.tools.ant.DirectoryScanner.setIncludes",,15,4,4,,
Public Abstract Class,"org.apache.tools.ant.EnumeratedAttribute",1,26,,8,50,1
Public Constructor,"org.apache.tools.ant.EnumeratedAttribute.EnumeratedAttribute",,1,1,1,,
Public Method,"org.apache.tools.ant.EnumeratedAttribute.containsValue",,12,4,4,,
Public Method,"org.apache.tools.ant.EnumeratedAttribute.getValue",,3,1,1,,
Public Abstract Method,"org.apache.tools.ant.EnumeratedAttribute.getValues",,1,0,0,,
Public Method,"org.apache.tools.ant.EnumeratedAttribute.setValue",,6,2,2,,
Public Class,"org.apache.tools.ant.EnumeratedAttributeTest",4,51,,9,33,2
Public Constructor,"org.apache.tools.ant.EnumeratedAttributeTest.EnumeratedAttributeTest",,3,1,1,,
Public Static Class,"org.apache.tools.ant.EnumeratedAttributeTest.TestNormal",1,5,,1,0,2
Public Method,"org.apache.tools.ant.EnumeratedAttributeTest.TestNormal.getValues",,3,1,1,,
Public Static Class,"org.apache.tools.ant.EnumeratedAttributeTest.TestNull",0,5,,1,0,2
Public Method,"org.apache.tools.ant.EnumeratedAttributeTest.TestNull.getValues",,3,1,1,,
Public Method,"org.apache.tools.ant.EnumeratedAttributeTest.testContains",,13,2,2,,
Public Method,"org.apache.tools.ant.EnumeratedAttributeTest.testExceptions",,22,6,6,,
Public Class,"org.apache.tools.ant.IntrospectionHelper",7,316,,49,79,1
Private Interface,"org.apache.tools.ant.IntrospectionHelper.AttributeSetter",2,5,,0,0,0
Public Abstract Method,"org.apache.tools.ant.IntrospectionHelper.AttributeSetter.set",,3,0,0,,
Private Constructor,"org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper",,76,9,9,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1)",1,6,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_1).create",,5,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2)",1,7,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.IntrospectionHelper.(for_loop_1).(Anon_2).create",,6,1,1,,
Private Interface,"org.apache.tools.ant.IntrospectionHelper.NestedCreator",0,4,,0,0,0
Public Abstract Method,"org.apache.tools.ant.IntrospectionHelper.NestedCreator.create",,2,0,0,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.addText",,18,5,5,,
Private Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter",,120,14,14,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_10).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11)",2,6,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_11).set",,5,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12)",3,9,,2,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_12).set",,8,2,2,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_13)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_13).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_14)",4,12,,2,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_14).set",,11,2,2,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_15)",3,10,,2,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_15).set",,9,2,2,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_3)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_3).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_4)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_4).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_5)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_5).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_6)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_6).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_7)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_7).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_8)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_8).set",,4,1,1,,
Anonymous Class,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_9)",2,5,,1,0,1
Public Method,"org.apache.tools.ant.IntrospectionHelper.createAttributeSetter.(Anon_9).set",,4,1,1,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.createElement",,22,6,6,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.getAttributeType",,10,2,2,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.getAttributes",,3,1,1,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.getElementType",,10,2,2,,
Public Static Method,"org.apache.tools.ant.IntrospectionHelper.getHelper",,8,2,2,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.getNestedElements",,3,1,1,,
Private Method,"org.apache.tools.ant.IntrospectionHelper.getPropertyName",,4,1,1,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.setAttribute",,21,5,5,,
Public Method,"org.apache.tools.ant.IntrospectionHelper.supportsCharacters",,3,1,1,,
Public Class,"org.apache.tools.ant.IntrospectionHelperTest",2,122,,20,0,2
Public Constructor,"org.apache.tools.ant.IntrospectionHelperTest.IntrospectionHelperTest",,3,1,1,,
Public Method,"org.apache.tools.ant.IntrospectionHelperTest.testAddText",,16,3,3,,
Public Method,"org.apache.tools.ant.IntrospectionHelperTest.testElementCreators",,74,14,14,,
Public Method,"org.apache.tools.ant.IntrospectionHelperTest.testGetNestedElements",,16,1,1,,
Public Method,"org.apache.tools.ant.IntrospectionHelperTest.testSupportsCharacters",,10,1,1,,
Public Class,"org.apache.tools.ant.Location",0,28,,6,68,1
Private Constructor,"org.apache.tools.ant.Location.Location",,3,1,1,,
Public Constructor,"org.apache.tools.ant.Location.Location",,3,1,1,,
Public Constructor,"org.apache.tools.ant.Location.Location",,5,1,1,,
Public Method,"org.apache.tools.ant.Location.toString",,12,3,3,,
Public Class,"org.apache.tools.ant.Main",5,199,,39,69,1
Protected Constructor,"org.apache.tools.ant.Main.Main",,80,19,19,,
Protected Method,"org.apache.tools.ant.Main.addBuildListeners",,14,3,3,,
Private Method,"org.apache.tools.ant.Main.createDefaultBuildListener",,3,1,1,,
Public Static Method,"org.apache.tools.ant.Main.main",,9,2,2,,
Private Static Method,"org.apache.tools.ant.Main.printUsage",,15,1,1,,
Private Static Method,"org.apache.tools.ant.Main.printVersion",,22,3,3,,
Private Method,"org.apache.tools.ant.Main.runBuild",,47,10,10,,
Public Interface,"org.apache.tools.ant.Map",0,3,,0,0,0
Public Abstract Method,"org.apache.tools.ant.Map.get",,1,0,0,,
Public Class,"org.apache.tools.ant.Path",1,85,,25,77,1
Public Constructor,"org.apache.tools.ant.Path.Path",,3,1,1,,
Public Constructor,"org.apache.tools.ant.Path.Path",,4,1,1,,
Public Method,"org.apache.tools.ant.Path.append",,8,3,3,,
Public Method,"org.apache.tools.ant.Path.createPathElement",,3,1,1,,
Public Method,"org.apache.tools.ant.Path.list",,5,1,1,,
Public Method,"org.apache.tools.ant.Path.setLocation",,8,3,3,,
Public Method,"org.apache.tools.ant.Path.setPath",,9,3,3,,
Public Method,"org.apache.tools.ant.Path.toString",,10,3,3,,
Public Static Method,"org.apache.tools.ant.Path.translateFile",,8,3,3,,
Protected Static Method,"org.apache.tools.ant.Path.translateFileSep",,7,2,2,,
Public Static Method,"org.apache.tools.ant.Path.translatePath",,15,4,4,,
Public Class,"org.apache.tools.ant.PathTest",1,124,,13,66,2
Public Constructor,"org.apache.tools.ant.PathTest.PathTest",,3,1,1,,
Public Method,"org.apache.tools.ant.PathTest.testAppending",,14,1,1,,
Public Method,"org.apache.tools.ant.PathTest.testConstructor",,54,6,6,,
Public Method,"org.apache.tools.ant.PathTest.testEmpyPath",,14,1,1,,
Public Method,"org.apache.tools.ant.PathTest.testSetLocation",,22,3,3,,
Public Method,"org.apache.tools.ant.PathTest.testUnique",,14,1,1,,
Public Class,"org.apache.tools.ant.PathTokenizer",0,37,,7,22,1
Public Constructor,"org.apache.tools.ant.PathTokenizer.PathTokenizer",,4,1,1,,
Public Method,"org.apache.tools.ant.PathTokenizer.hasMoreTokens",,6,2,2,,
Public Method,"org.apache.tools.ant.PathTokenizer.nextToken",,22,4,4,,
Public Class,"org.apache.tools.ant.Project",1,55,,5,100,1
Public Constructor,"org.apache.tools.ant.Project.Project",,2,1,1,,
Public Method,"org.apache.tools.ant.Project.init",,26,4,4,,
Public Class,"org.apache.tools.ant.ProjectHelper",6,315,,26,73,1
Private Class,"org.apache.tools.ant.ProjectHelper.AbstractHandler",1,19,,5,50,2
Public Constructor,"org.apache.tools.ant.ProjectHelper.AbstractHandler.AbstractHandler",,4,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.AbstractHandler.characters",,6,2,2,,
Public Method,"org.apache.tools.ant.ProjectHelper.AbstractHandler.endElement",,3,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.AbstractHandler.startElement",,3,1,1,,
Private Class,"org.apache.tools.ant.ProjectHelper.NestedElementHandler",3,34,,7,58,3
Public Constructor,"org.apache.tools.ant.ProjectHelper.NestedElementHandler.NestedElementHandler",,4,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.NestedElementHandler.characters",,11,3,3,,
Public Method,"org.apache.tools.ant.ProjectHelper.NestedElementHandler.init",,11,2,2,,
Public Method,"org.apache.tools.ant.ProjectHelper.NestedElementHandler.startElement",,3,1,1,,
Private Class,"org.apache.tools.ant.ProjectHelper.ProjectHandler",3,55,,17,0,3
Public Constructor,"org.apache.tools.ant.ProjectHelper.ProjectHandler.ProjectHandler",,3,1,1,,
Private Method,"org.apache.tools.ant.ProjectHelper.ProjectHandler.handleProperty",,3,1,1,,
Private Method,"org.apache.tools.ant.ProjectHelper.ProjectHandler.handleTarget",,3,1,1,,
Private Method,"org.apache.tools.ant.ProjectHelper.ProjectHandler.handleTaskdef",,3,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.ProjectHandler.init",,30,9,9,,
Public Method,"org.apache.tools.ant.ProjectHelper.ProjectHandler.startElement",,11,4,4,,
Private Constructor,"org.apache.tools.ant.ProjectHelper.ProjectHelper",,4,1,1,,
Private Class,"org.apache.tools.ant.ProjectHelper.RootHandler",2,12,,3,0,2
Public Method,"org.apache.tools.ant.ProjectHelper.RootHandler.setDocumentLocator",,3,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.RootHandler.startElement",,7,2,2,,
Private Class,"org.apache.tools.ant.ProjectHelper.TargetHandler",3,50,,13,33,3
Public Constructor,"org.apache.tools.ant.ProjectHelper.TargetHandler.TargetHandler",,3,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.TargetHandler.init",,41,11,11,,
Public Method,"org.apache.tools.ant.ProjectHelper.TargetHandler.startElement",,3,1,1,,
Private Class,"org.apache.tools.ant.ProjectHelper.TaskHandler",7,32,,7,37,3
Public Constructor,"org.apache.tools.ant.ProjectHelper.TaskHandler.TaskHandler",,4,1,1,,
Public Method,"org.apache.tools.ant.ProjectHelper.TaskHandler.characters",,11,3,3,,
Public Method,"org.apache.tools.ant.ProjectHelper.TaskHandler.init",,10,2,2,,
Public Method,"org.apache.tools.ant.ProjectHelper.TaskHandler.startElement",,3,1,1,,
Private Method,"org.apache.tools.ant.ProjectHelper.configure",,23,5,5,,
Public Static Method,"org.apache.tools.ant.ProjectHelper.configureProject",,3,1,1,,
Private Static Method,"org.apache.tools.ant.ProjectHelper.getParserFactory",,6,2,2,,
Private Method,"org.apache.tools.ant.ProjectHelper.parse",,36,9,9,,
Public Static Method,"org.apache.tools.ant.ProjectHelper.replaceProperties",,34,8,8,,
Public Class,"org.apache.tools.ant.Target",3,67,,20,85,1
Public Method,"org.apache.tools.ant.Target.addDependency",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.addTask",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.execute",,18,4,4,,
Public Method,"org.apache.tools.ant.Target.getDependencies",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.getName",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.getProject",,3,1,1,,
Constructor,"org.apache.tools.ant.Target.project.log",,0,1,1,,
Public Method,"org.apache.tools.ant.Target.setDepends",,9,3,3,,
Public Method,"org.apache.tools.ant.Target.setIf",,3,2,2,,
Public Method,"org.apache.tools.ant.Target.setName",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.setProject",,3,1,1,,
Public Method,"org.apache.tools.ant.Target.setUnless",,3,2,2,,
Public Method,"org.apache.tools.ant.Target.toString",,3,1,1,,
Public Abstract Class,"org.apache.tools.ant.Task",4,49,,15,86,1
Public Method,"org.apache.tools.ant.Task.execute",,0,1,1,,
Public Method,"org.apache.tools.ant.Task.getDescription",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.getLocation",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.getOwningTarget",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.getProject",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.getTaskName",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.init",,1,1,1,,
Public Method,"org.apache.tools.ant.Task.log",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.log",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.setDescription",,3,1,1,,
Public Method,"org.apache.tools.ant.Task.setLocation",,3,1,1,,
