Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
ant1.1,org.apache.tools.ant.taskdefs,Zip,4,0,8,4,134,22,1,1,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,DDCreator,3,0,4,4,67,8,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,DDCreatorHelper,3,0,3,1,65,7,0,0,0.0,1,1
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,Ejbc,5,0,6,6,95,11,0,0,0.0,0,1
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,EjbcHelper,6,0,5,1,145,16,0,0,0.0,1,1
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,EjbJar,17,0,16,15,321,33,0,0,0.0,1,5
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,DescriptorHandler,6,0,5,5,66,7,0,0,0.0,2,1
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,WLRun,7,0,7,7,116,14,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional.ejb,WLStop,5,0,6,6,81,8,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional,NetRexxC,33,0,37,31,394,55,0,0,0.05405405405405406,0,2
ant1.1,org.apache.tools.ant.taskdefs.optional,RenameExtensions,4,0,7,6,79,14,0,0,0.2857142857142857,0,2
ant1.1,org.apache.tools.ant.taskdefs.optional,Script,3,0,5,4,78,11,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional,XalanLiaison,2,0,3,3,17,3,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional,XslpLiaison,2,0,3,3,18,3,0,0,0.0,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSS,19,15,6,6,117,9,1,0,0.5,0,0
ant1.1,org.apache.tools.ant.taskdefs.optional.vss,MSVSSGET,6,0,11,11,145,24,0,1,0.0,0,0
ant1.1,org.apache.tools.tar,TarBuffer,11,2,21,17,260,56,0,0,0.0,3,1
ant1.1,org.apache.tools.tar,TarConstants,22,22,0,0,95,0,1,0,-1.0,0,0
ant1.1,org.apache.tools.tar,TarEntry,15,0,28,27,399,44,0,1,0.0,3,2
ant1.1,org.apache.tools.tar,TarInputStream,8,0,16,16,228,39,0,0,0.375,0,2
ant1.1,org.apache.tools.tar,TarOutputStream,8,0,14,13,160,24,0,0,0.21428571428571427,0,2
ant1.1,org.apache.tools.tar,TarUtils,0,0,7,7,137,20,0,0,-1.0,2,1
